Console,Title,US Sales (millions),YearReleased,Publisher,Genre,Sequel,Re-release,Usedprice,Review Score,MaxPlayers,Online,Multiplatform,SubGenres,AgeRating
Nintendo DS,Super Mario 64 DS,4.69,2004,Nintendo,Action,1,1,24.95,85,1,0,0,Action|Puzzle|RealTime|Platform|ThirdPerson,E
Sony PSP,Lumines: Puzzle Fusion,0.56,2004,Ubisoft,Strategy,0,0,14.95,89,1,1,0,Strategy|Puzzle|RhythmAction,Unknown
Nintendo DS,WarioWare Touched!,0.54,2004,Nintendo,"Action, Racing / Driving, Sports",1,0,22.95,81,2,0,0,Action|Racing|Sports|Anime|Paddle|Boxing|Fishing|Horse|Sailing|Snowboarding|Platform|Isometric|SideScrolling|TopDown|ThirdPerson,E
Sony PSP,Hot Shots Golf: Open Tee,0.49,2004,Sony,Sports,0,0,12.95,81,1,1,0,Sports|Golf|ThirdPerson,Unknown
Nintendo DS,Spider-Man 2,0.45,2004,Activision,Action,1,0,14.95,61,1,0,1,Action|Comics|Fighting|Puzzle|RealTime|Platform|SideScrolling|ThirdPerson,E
Nintendo DS,The Urbz: Sims in the City,0.41,2004,EA,Simulation,1,0,12.95,67,1,0,1,Simulation|Managerial|Isometric,E
Sony PSP,Ridge Racer,0.36,2004,Namco,Racing / Driving,1,0,19.95,88,1,1,1,Racing|FirstPerson|ThirdPerson,E
Sony PSP,Metal Gear Ac!d,0.34,2004,Konami,Strategy,0,0,17.95,75,1,1,0,Strategy|SciFi|Spy|TurnBased|ThirdPerson,M
Nintendo DS,Madden NFL 2005,0.25,2004,EA,Sports,1,0,8.95,68,1,0,0,Sports|AmericanFootball|ThirdPerson,E
Nintendo DS,Pokemon Dash,0.22,2004,Nintendo,Racing / Driving,0,0,24.95,46,1,0,0,Racing|TopDown|ThirdPerson,E
Sony PSP,Dynasty Warriors,0.2,2004,"KOEI Co., Ltd., KOEI Corporation, KOEI Ltd.","Action, Adventure, Role-Playing (RPG)",1,0,14.95,62,1,0,0,Action|Adventure|RPG|MedievalFantasy|ThirdPerson,T
Nintendo DS,Feel the Magic XY/XX,0.16,2004,Sega,"Action, Adventure, Racing / Driving, Sports",0,0,8.95,75,1,0,0,Action|Adventure|Racing|Sports|Anime|Bowling|Sailing|FirstPerson|Platform|SideScrolling|TopDown|ThirdPerson,T
Nintendo DS,Ridge Racer DS,0.15,2004,Namco,Racing / Driving,1,0,9.95,63,1,0,1,Racing|FirstPerson|ThirdPerson,E
Sony PSP,Darkstalkers Chronicle: The Chaos Tower,0.14,2004,Capcom,Action,0,1,14.95,74,1,1,0,Action|Anime|Fighting|SideScrolling|ThirdPerson,T
Sony PSP,Ape Escape Academy,0.13,2004,Sony,"Action, Sports",1,0,14.95,51,4,1,0,Action|Sports|Arcade|Puzzle|RhythmAction|Boxing|Bowling|Golf|Olympiad|Soccer|TopDown|ThirdPerson,E
Nintendo DS,Polarium,0.12,2004,Nintendo,Strategy,0,0,8.95,73,1,0,0,Strategy|Puzzle|RealTime|TopDown,E
Nintendo DS,Asphalt: Urban GT,0.11,2004,Ubisoft,"Racing / Driving, Simulation",0,0,14.95,60,1,0,0,Racing|Simulation|ThirdPerson,E
Nintendo DS,Ping Pals,0.11,2004,THQ,Action,0,0,7.95,28,1,0,0,Action,E
Nintendo DS,Zoo Keeper,0.1,2004,"Ignition Entertainment Ltd., Ignition Entertainment Ltd. USA, Success Corp.",Action,0,0,14.95,74,1,0,0,Action|Anime|Arcade|Puzzle,E
Nintendo DS,Mr. DRILLER: Drill Spirits,0.09,2004,Namco,Action,1,0,14.95,72,1,0,0,Action|Puzzle|Platform,E
Nintendo DS,Sprung,0.06,2004,Ubisoft,Adventure,0,0,8.95,48,1,0,0,Adventure|Puzzle|FirstPerson,T
Sony PSP,Armored Core: Formula Front - Extreme Battle,0.05,2004,"505 GameStreet, Agetec, Inc., FromSoftware, Inc.","Action, Strategy",1,0,16.95,66,1,1,0,Action|Strategy|Battlemech|Managerial|RealTime|SciFi|Shooter|FirstPerson|ThirdPerson,T
Nintendo DS,Puyo Pop Fever,0.04,2004,Sega,"Action, Strategy",0,1,19.95,76,1,0,1,Action|Strategy|Anime|Arcade|Puzzle,E
Nintendo DS,Mario Kart DS,9.99,2005,Nintendo,Racing / Driving,1,0,29.95,91,1,1,0,Racing|ThirdPerson,E
Nintendo DS,Nintendogs,9.72,2005,Nintendo,Simulation,0,0,26.95,83,1,0,0,Simulation|PersistentUniverse|RealTime|ThirdPerson,E
Nintendo DS,Brain Age: Train Your Brain in Minutes a Day!,5.07,2005,Nintendo,Action,0,0,17.95,77,1,0,0,Action|MentalTraining,E
Nintendo DS,Brain Age2: More Training in Minutes a Day!,3.65,2005,Nintendo,Action,1,0,17.95,77,1,0,0,Action|MentalTraining,E
Sony PSP,Grand Theft Auto: Liberty City Stories,2.97,2005,Capcom,"Action, Racing / Driving",1,0,17.95,88,1,1,1,Action|Racing|Fighting|Shooter|ThirdPerson,M
Nintendo DS,Animal Crossing: Wild World,2.6,2005,Nintendo,Simulation,1,0,24.95,86,1,1,0,Simulation|ThirdPerson,E
Nintendo DS,Big Brain Academy,1.77,2005,Nintendo,Action,0,0,16.95,74,1,0,0,Action|MentalTraining|TopDown,E
X360,Call of Duty 2,1.69,2005,Activision,Action,1,0,17.95,89,4,1,0,Action|HistoricalBattle|Shooter|FirstPerson,T
