Description,Inside/Outside,Weapon,Latitude,Longitude,HourBin,cluster
ROBBERY - COMMERCIAL,Inside,FIREARM,39.28242,-76.59288,Night,-1
COMMON ASSAULT,Inside,HANDS,39.3707,-76.56709,Night,0
ROBBERY - COMMERCIAL,Outside,OTHER,39.28624,-76.64455,Night,-1
COMMON ASSAULT,Inside,HANDS,39.3034,-76.63842,Morning,1
COMMON ASSAULT,Inside,HANDS,39.30587,-76.67216,Morning,1
COMMON ASSAULT,Inside,HANDS,39.29883,-76.61042,Morning,1
COMMON ASSAULT,Inside,HANDS,39.3212,-76.53906,Morning,1
AGG. ASSAULT,Outside,KNIFE,39.2881,-76.64888,Morning,-1
ROBBERY - STREET,Outside,FIREARM,39.31249,-76.64539,Night,2
ROBBERY - STREET,Outside,FIREARM,39.31249,-76.64539,Night,2
AGG. ASSAULT,Outside,OTHER,39.30038,-76.58101,Night,3
AGG. ASSAULT,Outside,KNIFE,39.30128,-76.58385,Night,4
COMMON ASSAULT,Outside,HANDS,39.34513,-76.54164,Afternoon,5
COMMON ASSAULT,Outside,HANDS,39.29765,-76.56099,Afternoon,5
ROBBERY - STREET,Outside,FIREARM,39.30588,-76.63353,Afternoon,6
COMMON ASSAULT,Inside,HANDS,39.3331,-76.54578,Afternoon,7
ROBBERY - STREET,Outside,FIREARM,39.30479,-76.55919,Afternoon,-1
AGG. ASSAULT,Inside,HANDS,39.31819,-76.61706,Afternoon,-1
AGG. ASSAULT,Outside,KNIFE,39.35952,-76.58856,Afternoon,-1
COMMON ASSAULT,Inside,HANDS,39.27905,-76.63523,Afternoon,7
ROBBERY - STREET,Outside,KNIFE,39.2881,-76.64888,Evening,-1
COMMON ASSAULT,Inside,HANDS,39.32178,-76.56278,Evening,8
ROBBERY - STREET,Outside,FIREARM,39.28141,-76.57407,Evening,9
AGG. ASSAULT,Outside,OTHER,39.30423,-76.62992,Evening,10
COMMON ASSAULT,Outside,HANDS,39.2457,-76.62276,Evening,11
ROBBERY - STREET,Outside,KNIFE,39.3586,-76.69386,Evening,-1
ROBBERY - STREET,Outside,FIREARM,39.29735,-76.57302,Evening,9
