CrimeTime,CrimeCode,Description,Inside/Outside,Weapon,Post,District,Latitude,Longitude,HourBin,Description_encoded,Weapon_encoded,HourBin_encoded,Inside/Outside_encoded,cluster
3.0,4E,COMMON ASSAULT,Inside,HANDS,423.0,NORTHEASTERN,39.3707,-76.56709,Night,1,1,3,0,0
8.0,4E,COMMON ASSAULT,Inside,HANDS,743.0,WESTERN,39.3034,-76.63842,Morning,1,1,2,0,1
9.0,4E,COMMON ASSAULT,Inside,HANDS,813.0,SOUTHWESTERN,39.30587,-76.67216,Morning,1,1,2,0,1
9.0,4E,COMMON ASSAULT,Inside,HANDS,312.0,EASTERN,39.29883,-76.61042,Morning,1,1,2,0,1
11.0,4E,COMMON ASSAULT,Inside,HANDS,444.0,NORTHEASTERN,39.3212,-76.53906,Morning,1,1,2,0,1
0.0,3AF,ROBBERY - STREET,Outside,FIREARM,733.0,WESTERN,39.31249,-76.64539,Night,6,0,3,1,2
0.0,3AF,ROBBERY - STREET,Outside,FIREARM,733.0,WESTERN,39.31249,-76.64539,Night,6,0,3,1,2
1.0,4C,AGG. ASSAULT,Outside,OTHER,323.0,EASTERN,39.30038,-76.58101,Night,0,3,3,1,3
1.0,4B,AGG. ASSAULT,Outside,KNIFE,323.0,EASTERN,39.30128,-76.58385,Night,0,2,3,1,4
12.0,4E,COMMON ASSAULT,Outside,HANDS,425.0,NORTHEASTERN,39.34513,-76.54164,Afternoon,1,1,0,1,5
12.0,4E,COMMON ASSAULT,Outside,HANDS,333.0,EASTERN,39.29765,-76.56099,Afternoon,1,1,0,1,5
13.0,3AF,ROBBERY - STREET,Outside,FIREARM,131.0,CENTRAL,39.30588,-76.63353,Afternoon,6,0,0,1,6
13.0,4E,COMMON ASSAULT,Inside,HANDS,444.0,NORTHEASTERN,39.3331,-76.54578,Afternoon,1,1,0,0,7
17.0,4E,COMMON ASSAULT,Inside,HANDS,932.0,SOUTHERN,39.27905,-76.63523,Afternoon,1,1,0,0,7
18.0,4E,COMMON ASSAULT,Inside,HANDS,432.0,NORTHEASTERN,39.32178,-76.56278,Evening,1,1,1,0,8
18.0,3AF,ROBBERY - STREET,Outside,FIREARM,232.0,SOUTHEASTERN,39.28141,-76.57407,Evening,6,0,1,1,9
19.0,4C,AGG. ASSAULT,Outside,OTHER,123.0,CENTRAL,39.30423,-76.62992,Evening,0,3,1,1,10
19.0,4E,COMMON ASSAULT,Outside,HANDS,922.0,SOUTHERN,39.2457,-76.62276,Evening,1,1,1,1,11
19.0,3AF,ROBBERY - STREET,Outside,FIREARM,224.0,SOUTHEASTERN,39.29735,-76.57302,Evening,6,0,1,1,9
20.0,4E,COMMON ASSAULT,Inside,HANDS,123.0,CENTRAL,39.30294,-76.63386,Evening,1,1,1,0,8
21.0,4B,AGG. ASSAULT,Inside,KNIFE,742.0,WESTERN,39.30548,-76.64362,Evening,0,2,1,0,12
22.0,4E,COMMON ASSAULT,Inside,HANDS,432.0,NORTHEASTERN,39.32074,-76.56522,Evening,1,1,1,0,8
22.0,4E,COMMON ASSAULT,Inside,HANDS,432.0,NORTHEASTERN,39.3214,-76.56856,Evening,1,1,1,0,8
23.0,4E,COMMON ASSAULT,Inside,HANDS,426.0,NORTHEASTERN,39.34553,-76.56367,Evening,1,1,1,0,8
1.0,4E,COMMON ASSAULT,Inside,HANDS,413.0,NORTHEASTERN,39.34306,-76.59479,Night,1,1,3,0,0
2.0,4E,COMMON ASSAULT,Inside,HANDS,713.0,WESTERN,39.29536,-76.64012,Night,1,1,3,0,0
3.0,4B,AGG. ASSAULT,Outside,KNIFE,333.0,EASTERN,39.2991,-76.56033,Night,0,2,3,1,4
6.0,4E,COMMON ASSAULT,Outside,HANDS,141.0,CENTRAL,39.3028,-76.61436,Morning,1,1,2,1,13
6.0,4E,COMMON ASSAULT,Inside,HANDS,343.0,EASTERN,39.31039,-76.60236,Morning,1,1,2,0,1
7.0,3AF,ROBBERY - STREET,Outside,FIREARM,312.0,EASTERN,39.29921,-76.60015,Morning,6,0,2,1,14
11.0,4C,AGG. ASSAULT,Inside,OTHER,323.0,EASTERN,39.30023,-76.57952,Morning,0,3,2,0,15
13.0,3AF,ROBBERY - STREET,Outside,FIREARM,821.0,SOUTHWESTERN,39.30362,-76.67372,Afternoon,6,0,0,1,6
15.0,4E,COMMON ASSAULT,Inside,HANDS,511.0,NORTHERN,39.32081,-76.62574,Afternoon,1,1,0,0,7
15.0,4C,AGG. ASSAULT,Outside,OTHER,123.0,CENTRAL,39.29798,-76.6317,Afternoon,0,3,0,1,16
15.0,4C,AGG. ASSAULT,Outside,OTHER,233.0,SOUTHEASTERN,39.28676,-76.56335,Afternoon,0,3,0,1,16
15.0,4E,COMMON ASSAULT,Outside,HANDS,831.0,SOUTHWESTERN,39.26879,-76.65109,Afternoon,1,1,0,1,5
16.0,4E,COMMON ASSAULT,Outside,HANDS,543.0,NORTHERN,39.33278,-76.60564,Afternoon,1,1,0,1,5
16.0,4C,AGG. ASSAULT,Outside,OTHER,521.0,NORTHERN,39.34712,-76.60966,Afternoon,0,3,0,1,16
16.0,4C,AGG. ASSAULT,Outside,OTHER,913.0,SOUTHERN,39.22768,-76.5988,Afternoon,0,3,0,1,83
16.0,4E,COMMON ASSAULT,Inside,HANDS,233.0,SOUTHEASTERN,39.28675,-76.56315,Afternoon,1,1,0,0,7
16.0,4E,COMMON ASSAULT,Inside,HANDS,941.0,SOUTHERN,39.28622,-76.62239,Afternoon,1,1,0,0,7
17.0,4E,COMMON ASSAULT,Inside,HANDS,713.0,WESTERN,39.29536,-76.64012,Afternoon,1,1,0,0,7
17.0,4E,COMMON ASSAULT,Outside,HANDS,411.0,NORTHEASTERN,39.32464,-76.58837,Afternoon,1,1,0,1,5
18.0,4E,COMMON ASSAULT,Inside,HANDS,412.0,NORTHEASTERN,39.345,-76.5886,Evening,1,1,1,0,8
18.0,4E,COMMON ASSAULT,Inside,HANDS,612.0,NORTHWESTERN,39.3296,-76.65914,Evening,1,1,1,0,8
18.0,3AF,ROBBERY - STREET,Outside,FIREARM,331.0,EASTERN,39.30675,-76.58838,Evening,6,0,1,1,9
18.0,4B,AGG. ASSAULT,Outside,KNIFE,112.0,CENTRAL,39.28657,-76.611,Evening,0,2,1,1,17
19.0,4C,AGG. ASSAULT,Inside,OTHER,614.0,NORTHWESTERN,39.34466,-76.67068,Evening,0,3,1,0,18
21.0,3AF,ROBBERY - STREET,Outside,FIREARM,514.0,NORTHERN,39.31424,-76.61675,Evening,6,0,1,1,9
21.0,4E,COMMON ASSAULT,Inside,HANDS,424.0,NORTHEASTERN,39.3629,-76.55037,Evening,1,1,1,0,8
22.0,4C,AGG. ASSAULT,Inside,OTHER,332.0,EASTERN,39.30533,-76.57418,Evening,0,3,1,0,18
22.0,4D,AGG. ASSAULT,Inside,HANDS,332.0,EASTERN,39.30533,-76.57418,Evening,0,1,1,0,19
23.0,4E,COMMON ASSAULT,Inside,HANDS,921.0,SOUTHERN,39.26243,-76.6333,Evening,1,1,1,0,8
23.0,3AO,ROBBERY - STREET,Outside,OTHER,222.0,SOUTHEASTERN,39.2919,-76.57016,Evening,6,3,1,1,34
23.0,4E,COMMON ASSAULT,Outside,HANDS,222.0,SOUTHEASTERN,39.2919,-76.57016,Evening,1,1,1,1,11
