Latitude,Longitude,Description,Description_encoded,Weapon,Weapon_encoded,HourBin,HourBin_encoded,Inside/Outside,Inside/Outside_encoded
39.28242,-76.59288,ROBBERY - COMMERCIAL,4,FIREARM,0,Night,3,Inside,0
39.3707,-76.56709,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.28624,-76.64455,ROBBERY - COMMERCIAL,4,OTHER,3,Night,3,Outside,1
39.3034,-76.63842,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.30587,-76.67216,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.29883,-76.61042,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.3212,-76.53906,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.2881,-76.64888,AGG. ASSAULT,0,KNIFE,2,Morning,2,Outside,1
39.31249,-76.64539,ROBBERY - STREET,6,FIREARM,0,Night,3,Outside,1
39.31249,-76.64539,ROBBERY - STREET,6,FIREARM,0,Night,3,Outside,1
39.30038,-76.58101,AGG. ASSAULT,0,OTHER,3,Night,3,Outside,1
39.30128,-76.58385,AGG. ASSAULT,0,KNIFE,2,Night,3,Outside,1
39.34513,-76.54164,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.29765,-76.56099,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.30588,-76.63353,ROBBERY - STREET,6,FIREARM,0,Afternoon,0,Outside,1
39.3331,-76.54578,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.30479,-76.55919,ROBBERY - STREET,6,FIREARM,0,Afternoon,0,Outside,1
39.31819,-76.61706,AGG. ASSAULT,0,HANDS,1,Afternoon,0,Inside,0
39.35952,-76.58856,AGG. ASSAULT,0,KNIFE,2,Afternoon,0,Outside,1
39.27905,-76.63523,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.2881,-76.64888,ROBBERY - STREET,6,KNIFE,2,Evening,1,Outside,1
39.32178,-76.56278,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.28141,-76.57407,ROBBERY - STREET,6,FIREARM,0,Evening,1,Outside,1
39.30423,-76.62992,AGG. ASSAULT,0,OTHER,3,Evening,1,Outside,1
39.2457,-76.62276,COMMON ASSAULT,1,HANDS,1,Evening,1,Outside,1
39.3586,-76.69386,ROBBERY - STREET,6,KNIFE,2,Evening,1,Outside,1
39.29735,-76.57302,ROBBERY - STREET,6,FIREARM,0,Evening,1,Outside,1
39.30294,-76.63386,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.30548,-76.64362,AGG. ASSAULT,0,KNIFE,2,Evening,1,Inside,0
39.32074,-76.56522,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.3214,-76.56856,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.34553,-76.56367,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.31545,-76.68735,ROBBERY - STREET,6,OTHER,3,Evening,1,Outside,1
39.2543,-76.6516,ROBBERY - CARJACKING,3,KNIFE,2,Night,3,Outside,1
39.34306,-76.59479,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.29536,-76.64012,COMMON ASSAULT,1,HANDS,1,Night,3,Inside,0
39.2991,-76.56033,AGG. ASSAULT,0,KNIFE,2,Night,3,Outside,1
39.3028,-76.61436,COMMON ASSAULT,1,HANDS,1,Morning,2,Outside,1
39.31039,-76.60236,COMMON ASSAULT,1,HANDS,1,Morning,2,Inside,0
39.33616,-76.70622,AGG. ASSAULT,0,KNIFE,2,Morning,2,Inside,0
39.29921,-76.60015,ROBBERY - STREET,6,FIREARM,0,Morning,2,Outside,1
39.28962,-76.65299,ROBBERY - CARJACKING,3,FIREARM,0,Morning,2,Outside,1
39.29164,-76.5605,AGG. ASSAULT,0,KNIFE,2,Morning,2,Inside,0
39.29112,-76.63072,AGG. ASSAULT,0,FIREARM,0,Morning,2,Outside,1
39.29112,-76.63072,AGG. ASSAULT,0,FIREARM,0,Morning,2,Outside,1
39.2932,-76.60817,AGG. ASSAULT,0,HANDS,1,Morning,2,Outside,1
39.30023,-76.57952,AGG. ASSAULT,0,OTHER,3,Morning,2,Inside,0
39.31497,-76.63843,ROBBERY - RESIDENCE,5,FIREARM,0,Afternoon,0,Inside,0
39.30362,-76.67372,ROBBERY - STREET,6,FIREARM,0,Afternoon,0,Outside,1
39.32081,-76.62574,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.29798,-76.6317,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Outside,1
39.28676,-76.56335,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Outside,1
39.26879,-76.65109,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.33278,-76.60564,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.34712,-76.60966,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Outside,1
39.22768,-76.5988,AGG. ASSAULT,0,OTHER,3,Afternoon,0,Outside,1
39.28675,-76.56315,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.28622,-76.62239,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.23178,-76.59235,AGG. ASSAULT,0,FIREARM,0,Afternoon,0,Outside,1
39.29536,-76.64012,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Inside,0
39.32464,-76.58837,COMMON ASSAULT,1,HANDS,1,Afternoon,0,Outside,1
39.345,-76.5886,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.3296,-76.65914,COMMON ASSAULT,1,HANDS,1,Evening,1,Inside,0
39.30675,-76.58838,ROBBERY - STREET,6,FIREARM,0,Evening,1,Outside,1
39.35952,-76.58856,AGG. ASSAULT,0,HANDS,1,Evening,1,Inside,0
